# filename          timestamp[s]         [exposuretime[ms]]
1520530308199447626 1520530308.199447626 1.462315
1520530308249448626 1520530308.249448626 1.462315
1520530308299450626 1520530308.299450626 1.462315
1520530308349502521 1520530308.349502521 1.562105
1520530308399504521 1520530308.399504521 1.562105
1520530308449504521 1520530308.449504521 1.562105
1520530308499506521 1520530308.499506521 1.562105
1520530308549507521 1520530308.549507521 1.562105
1520530308599509521 1520530308.599509521 1.562105
1520530308649555521 1520530308.649555521 1.562105
1520530308699512521 1520530308.699512521 1.562105
1520530308749558942 1520530308.749558942 1.650947
1520530308799559942 1520530308.799559942 1.650947
1520530308849561942 1520530308.849561942 1.650947
1520530308899562942 1520530308.899562942 1.650947
1520530308949564942 1520530308.949564942 1.650947
1520530308999566942 1520530308.999566942 1.650947
1520530309049567942 1520530309.049567942 1.650947
1520530309099569942 1520530309.099569942 1.650947
1520530309149567293 1520530309.149567293 1.643649
1520530309199582486 1520530309.199582486 1.670035
1520530309249583486 1520530309.249583486 1.670035
1520530309299585486 1520530309.299585486 1.670035
1520530309349586486 1520530309.349586486 1.670035
1520530309399588486 1520530309.399588486 1.670035
1520530309449590486 1520530309.449590486 1.670035
1520530309499591486 1520530309.499591486 1.670035
1520530309549593486 1520530309.549593486 1.670035
1520530309599596890 1520530309.599596890 1.672842
1520530309649598890 1520530309.649598890 1.672842
1520530309699599890 1520530309.699599890 1.672842
1520530309749601890 1520530309.749601890 1.672842
1520530309799602890 1520530309.799602890 1.672842
1520530309849604890 1520530309.849604890 1.672842
1520530309899605890 1520530309.899605890 1.672842
1520530309949607890 1520530309.949607890 1.672842
1520530309999622012 1520530309.999622012 1.699087
1520530310049623012 1520530310.049623012 1.699087
1520530310099625012 1520530310.099625012 1.699087
1520530310149627012 1520530310.149627012 1.699087
1520530310199628012 1520530310.199628012 1.699087
1520530310249729012 1520530310.249729012 1.699087
1520530310299631012 1520530310.299631012 1.699087
1520530310349633012 1520530310.349633012 1.699087
1520530310399624679 1520530310.399624679 1.680421
1520530310449626679 1520530310.449626679 1.680421
1520530310499627679 1520530310.499627679 1.680421
1520530310549629679 1520530310.549629679 1.680421
1520530310599631679 1520530310.599631679 1.680421
1520530310649632679 1520530310.649632679 1.680421
1520530310699634679 1520530310.699634679 1.680421
1520530310749635679 1520530310.749635679 1.680421
1520530310799650942 1520530310.799650942 1.706947
1520530310849651942 1520530310.849651942 1.706947
1520530310899653942 1520530310.899653942 1.706947
1520530310949654942 1520530310.949654942 1.706947
1520530310999656942 1520530310.999656942 1.706947
1520530311049658942 1520530311.049658942 1.706947
1520530311099659942 1520530311.099659942 1.706947
1520530311149661942 1520530311.149661942 1.706947
1520530311199671872 1520530311.199671872 1.722807
1520530311249672872 1520530311.249672872 1.722807
1520530311299674872 1520530311.299674872 1.722807
1520530311349676872 1520530311.349676872 1.722807
1520530311399677872 1520530311.399677872 1.722807
1520530311449678872 1520530311.449678872 1.722807
1520530311499683872 1520530311.499683872 1.722807
1520530311549682872 1520530311.549682872 1.722807
1520530311599683872 1520530311.599683872 1.722807
1520530311649719135 1520530311.649719135 1.789333
1520530311699720135 1520530311.699720135 1.789333
1520530311749722135 1520530311.749722135 1.789333
1520530311799723135 1520530311.799723135 1.789333
1520530311849725135 1520530311.849725135 1.789333
1520530311899726135 1520530311.899726135 1.789333
1520530311949728135 1520530311.949728135 1.789333
1520530311999729135 1520530311.999729135 1.789333
1520530312049720469 1520530312.049720469 1.768
1520530312099721469 1520530312.099721469 1.768
1520530312149723469 1520530312.149723469 1.768
1520530312199725469 1520530312.199725469 1.768
1520530312249726469 1520530312.249726469 1.768
1520530312299728469 1520530312.299728469 1.768
1520530312349729469 1520530312.349729469 1.768
1520530312399731469 1520530312.399731469 1.768
1520530312449712118 1520530312.449712118 1.727298
1520530312499714118 1520530312.499714118 1.727298
1520530312549715118 1520530312.549715118 1.727298
1520530312599717118 1520530312.599717118 1.727298
1520530312649719118 1520530312.649719118 1.727298
1520530312699720118 1520530312.699720118 1.727298
1520530312749722118 1520530312.749722118 1.727298
1520530312799724118 1520530312.799724118 1.727298
1520530312849719433 1520530312.849719433 1.715929
1520530312899721433 1520530312.899721433 1.715929
1520530312949723433 1520530312.949723433 1.715929
1520530312999724433 1520530312.999724433 1.715929
1520530313049725433 1520530313.049725433 1.715929
1520530313099727433 1520530313.099727433 1.715929
1520530313149728433 1520530313.149728433 1.715929
1520530313199730433 1520530313.199730433 1.715929
1520530313249735714 1520530313.249735714 1.724491
1520530313299737714 1520530313.299737714 1.724491
1520530313349738714 1520530313.349738714 1.724491
1520530313399789714 1520530313.399789714 1.724491
1520530313449742714 1520530313.449742714 1.724491
1520530313499743714 1520530313.499743714 1.724491
1520530313549745714 1520530313.549745714 1.724491
1520530313599746714 1520530313.599746714 1.724491
1520530313649744995 1520530313.649744995 1.717052
1520530313699745995 1520530313.699745995 1.717052
1520530313749747995 1520530313.749747995 1.717052
1520530313799749995 1520530313.799749995 1.717052
1520530313849750995 1520530313.849750995 1.717052
1520530313899752995 1520530313.899752995 1.717052
1520530313949753995 1520530313.949753995 1.717052
1520530313999755995 1520530313.999755995 1.717052
1520530314049756995 1520530314.049756995 1.717052
1520530314099762714 1520530314.099762714 1.724491
